,Name of movie,Year of relase,Watchtime,theme,Movie Rating,Votes,Gross collection,Director,Star
0,Jai Bhim,2021,164,"
Crime,Drama            ",9.4,"156,356",*****,T.J. Gnanavel,"['Suriya', 'Lijo Mol Jose', 'Manikandan', 'Rajisha Vijayan']"
1,刺激1995,1994,142,"
Drama            ",9.3,"2,504,097",$28.34M,Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']"
2,教父,1972,175,"
Crime,Drama            ",9.2,"1,726,094",$134.97M,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']"
3,Soorarai Pottru,2020,153,"
Drama            ",9.1,"104,404",*****,Sudha Kongara,"['Suriya', 'Paresh Rawal', 'Aparna Balamurali', 'Gaurav Pareek']"
4,黑暗騎士,2008,152,"
Action,Crime,Drama            ",9.0,"2,453,612",$534.86M,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
5,教父第二集,1974,202,"
Crime,Drama            ",9.0,"1,197,725",$57.30M,Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']"
6,十二怒漢,1957,96,"
Crime,Drama            ",9.0,"739,584",$4.36M,Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']"
7,魔戒三部曲：王者再臨,2003,201,"
Action,Adventure,Drama            ",8.9,"1,729,877",$377.85M,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
8,黑色追緝令,1994,154,"
Crime,Drama            ",8.9,"1,932,221",$107.93M,Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']"
9,辛德勒的名單,1993,195,"
Biography,Drama,History            ",8.9,"1,281,322",$96.90M,Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']"
10,全面啟動,2010,148,"
Action,Adventure,Sci-Fi            ",8.8,"2,201,850",$292.58M,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']"
11,Dara iz Jasenovca,2020,130,"
Drama,War            ",8.8,"79,958",*****,Predrag Antonijevic,"['Biljana Cekic', 'Zlatan Vidovic', 'Anja Stanic', 'Luka Saranovic']"
12,Sardar Udham,2021,164,"
Biography,Crime,Drama            ",8.8,"31,801",*****,Shoojit Sircar,"['Vicky Kaushal', 'Banita Sandhu', 'Shaun Scott', 'Stephen Hogan']"
13,鬥陣俱樂部,1999,139,"
Drama            ",8.8,"1,969,950",$37.03M,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']"
14,魔戒首部曲：魔戒現身,2001,178,"
Action,Adventure,Drama            ",8.8,"1,751,171",$315.54M,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']"
15,阿甘正傳,1994,142,"
Drama,Romance            ",8.8,"1,932,887",$330.25M,Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
16,黃昏三鏢客,1966,161,"
Adventure,Western            ",8.8,"725,423",$6.10M,Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']"
17,Shershaah,2021,135,"
Action,Biography,Drama            ",8.7,"109,480",*****,Vishnuvardhan,"['Sidharth Malhotra', 'Kiara Advani', 'Shiv Panditt', 'Pranay Pachauri']"
18,魔戒二部曲：雙城奇謀,2002,179,"
Action,Adventure,Drama            ",8.7,"1,563,736",$342.55M,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']"
19,駭客任務,1999,136,"
Action,Sci-Fi            ",8.7,"1,787,647",$171.48M,"Directors:Lana Wachowski, Lilly Wachowski","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']"
