Year of relase,Watchtime,theme,Votes,Movie Rating,Gross collection($M)
1994,142,8,2588907,9.3,28.34
1972,175,6,1784226,9.2,134.97
2008,152,0,2559556,9.0,534.86
2003,201,0,1778907,9.0,377.85
1993,195,3,1317421,9.0,96.9
1974,202,6,1231869,9.0,57.3
1957,96,6,764732,9.0,4.36
2021,164,6,189003,8.9,250.0
1994,154,6,1985295,8.9,107.93
2010,148,0,2271762,8.8,292.58
2002,179,0,1606687,8.8,342.55
1999,139,8,2038049,8.8,37.03
2001,178,0,1800136,8.8,315.54
1994,142,7,1997912,8.8,330.25
1966,161,1,743125,8.8,6.1
1999,136,0,1860101,8.7,171.48
1990,145,3,1116748,8.7,46.84
1980,124,0,1251885,8.7,290.48
1975,133,8,984019,8.7,112.0
2022,139,0,58077,8.6,58.0
2014,169,1,1731964,8.6,188.02
2002,130,6,741561,8.6,7.56
2001,125,2,732999,8.6,10.06
1998,169,7,1347750,8.6,216.54
1999,189,6,1258558,8.6,136.8
1997,116,4,677023,8.6,57.6
1995,127,6,1588573,8.6,100.13
1991,137,0,1068966,8.6,204.84
1991,118,6,1386248,8.6,130.74
1977,121,0,1323426,8.6,322.74
1962,133,0,53986,8.6,46.0
1954,207,0,339283,8.6,0.27
1946,130,7,445169,8.6,21.0
2019,132,4,744493,8.5,53.37
2014,106,7,809570,8.5,13.09
2011,112,3,832375,8.5,13.18
2006,130,7,1294705,8.5,53.09
2006,151,6,1286949,8.5,132.38
2002,150,3,805799,8.5,32.57
2000,155,0,1455086,8.5,187.71
1998,119,8,1096979,8.5,6.72
1995,106,6,1061209,8.5,23.34
1994,110,0,1127339,8.5,19.5
1994,88,2,1025278,8.5,422.78
1988,155,7,254839,8.5,11.99
1988,89,2,267116,8.5,48.0
1985,116,1,1161534,8.5,210.61
1979,147,7,651527,8.5,83.47
1979,117,10,854478,8.5,78.9
1968,165,13,323516,8.5,5.32
1960,109,10,653706,8.5,32.0
1954,112,12,480919,8.5,36.76
1942,102,7,559834,8.5,1.02
1936,87,4,237449,8.5,0.16
1931,87,4,181690,8.5,0.02
2020,160,3,87386,8.4,113.0
2018,126,8,84839,8.4,1.66
2019,122,6,1193739,8.4,335.45
2016,106,2,250973,8.4,5.02
2018,117,2,491144,8.4,190.24
2019,181,0,1053907,8.4,858.37
2018,149,0,1015832,8.4,678.82
2017,105,2,477842,8.4,209.73
2012,165,7,1496481,8.4,162.81
2012,164,0,1654175,8.4,448.14
2009,170,4,386414,8.4,6.53
2008,98,2,1084704,8.4,223.81
2006,137,7,383451,8.4,11.29
2003,120,0,562372,8.4,0.71
2000,113,12,1207889,8.4,25.54
1999,122,8,1132432,8.4,130.1
1997,134,2,382422,8.4,2.38
1995,178,3,1017491,8.4,75.6
1985,142,7,75086,8.4,102.0
